31.690000	32.100000	1f
32.580000	44.870000	1f
46.130000	61.640000	1f
63.860000	99.590000	1f
101.160000	122.840000	1f
109.980000	110.380000	2f
123.640000	128.790000	2f
129.450000	130.070000	1f
132.920000	148.350000	2f
149.250000	151.120000	2f
152.020000	153.810000	1f
153.080000	154.500000	2f
154.620000	155.110000	1f
155.820000	177.370000	 2f
180.360000	182.370000	2f
185.050000	187.210000	2f
192.500000	193.980000	2f
195.190000	195.400000	1f
195.910000	197.400000	1f
197.540000	215.410000	2f
200.490000	200.900000	1f
217.040000	219.630000	1f
220.070000	223.530000	3m
222.530000	222.730000	1f
224.690000	229.150000	3m
230.560000	231.090000	3m
231.610000	233.210000	3m
239.090000	242.800000	3m
240.190000	242.290000	2f
242.750000	244.690000	1f
246.180000	250.150000	3m
275.170000	276.790000	3m
278.140000	282.310000	?
278.290000	278.760000	 2f
279.060000	301.290000	3m
279.070000	279.370000	1f
281.210000	283.100000	2f
308.150000	309.870000	4f
312.100000	318.250000	4f
319.190000	324.380000	4f
328.440000	330.290000	4f
