32.642263	44.640903	1
46.131417	62.005394	1
63.644960	123.191006	1
110.018586	110.111743	 2  
123.638160	178.414560	2
129.674743	130.270949	1
180.203177	187.953851	2
193.021600	196.151680	2
195.890840	197.586300	1
198.359504	215.612207	2
216.702146	219.627280	1
220.409800	233.377274	3
239.637434	245.301389	1
246.791903	249.176726	3
265.274280	266.019537	1
273.323057	277.496497	3
278.539857	279.136063	2
281.073731	281.968040	3
285.247171	302.388086	3
307.902989	325.975474	4
328.211246	330.447017	4
