31.449851	32.493211	1F
33.387520	43.970171	1F 
46.205943	62.154446	  1F
64.092114	76.016229	 1F
77.059589	99.566354	1F
101.205920	122.669326	1F
123.861737	128.631383	2F
129.674743	131.314309	1F
132.804823	151.138149	2F
151.883406	152.777714	1F
153.224869	154.417280	2F
154.566331	155.609691	1F
155.758743	169.471474	2F
173.346811	177.371200	2F
180.352229	182.438949	2F 
184.972823	187.208594	2F
192.276343	192.872549	2F
193.468754	195.108320	2F
195.853577	197.045989	1F
197.493143	200.325120	2F
200.623223	201.070377	1F
201.070377	215.230263	2F
217.018880	219.403703	1F 
220.447063	227.899634	3M
222.384731	222.831886	1F
228.644891	229.092046	3M
230.582560	234.010743	3M
238.631337	238.631337	1F
239.227543	248.915886	3M
240.419954	244.593394	1F
265.162491	265.609646	1F
275.148937	276.639451	3M
277.682811	278.428069	1F
278.428069	283.197714	2F
283.197714	301.381989	3M
307.940251	309.877920	4F
312.113691	324.335909	4F
328.360297	331.937531	4F
